# time, h1_signal, l1_signal
9.375000000000000000e-02 -2.165114579388823534e-24 3.170641039289807668e-25
9.423828125000000000e-02 -2.116402980674964188e-24 1.441979247991786465e-25
9.472656250000000000e-02 -2.050077723123347425e-24 -2.986704774720029700e-26
9.521484375000000000e-02 -1.966690618677727671e-24 -2.037190939970593439e-25
9.570312500000000000e-02 -1.866898608631639360e-24 -3.758906669961993467e-25
9.619140625000000000e-02 -1.751570197969963666e-24 -5.449342195320668400e-25
9.667968750000000000e-02 -1.621656138879781056e-24 -7.094779376899028855e-25
9.716796875000000000e-02 -1.478205388888861201e-24 -8.681251225385190356e-25
9.765625000000000000e-02 -1.322452863829083320e-24 -1.019546639841425206e-24
9.814453125000000000e-02 -1.155679182939516734e-24 -1.162515207811279973e-24
9.863281250000000000e-02 -9.792475046722118645e-25 -1.295809656969399189e-24
9.912109375000000000e-02 -7.946688903292739336e-25 -1.418319160347813415e-24
9.960937500000000000e-02 -6.034565258731793181e-25 -1.529053712515186942e-24
1.000976562500000000e-01 -4.071834351754069820e-25 -1.627056323307701903e-24
1.005859375000000000e-01 -2.075248694154294367e-25 -1.711515709378717416e-24
1.010742187500000000e-01 -6.113445184946472321e-27 -1.781753314783781185e-24
1.015625000000000000e-01 1.953841360878930586e-25 -1.837146807973378325e-24
1.020507812500000000e-01 3.952497245965849607e-25 -1.877246625734365491e-24
1.025390625000000000e-01 5.918531734923464938e-25 -1.901738846855903631e-24
1.030273437500000000e-01 7.835593876831800666e-25 -1.910381489246825111e-24
1.035156250000000000e-01 9.687355241166139209e-25 -1.903120144872739183e-24
1.040039062500000000e-01 1.145878331051417370e-24 -1.880028376781039413e-24
1.044921875000000000e-01 1.313506685094676407e-24 -1.841259951526332956e-24
1.049804687500000000e-01 1.470192232426015354e-24 -1.787160244039925921e-24
1.054687500000000000e-01 1.614670278481877121e-24 -1.718186491152244936e-24
1.059570312500000000e-01 1.745722417086245896e-24 -1.634877023877581319e-24
1.064453125000000000e-01 1.862229940494378483e-24 -1.537953495407997343e-24
1.069335937500000000e-01 1.963263934768552563e-24 -1.428223223493212984e-24
1.074218750000000000e-01 2.047960902008151764e-24 -1.306566642297530998e-24
1.079101562500000000e-01 2.115595362009713598e-24 -1.174027661378914268e-24
1.083984375000000000e-01 2.165644852429215674e-24 -1.031702850418070627e-24
1.088867187500000000e-01 2.197662887735180838e-24 -8.807483692635514063e-25
1.093750000000000000e-01 2.211368872651859216e-24 -7.224553195629203074e-25
1.098632812500000000e-01 2.206686673587923641e-24 -5.581291972573928637e-25
1.103515625000000000e-01 2.183619818727281682e-24 -3.891154048918219785e-25
1.108398437500000000e-01 2.142354893361867527e-24 -2.168568954450556040e-25
1.113281250000000000e-01 2.083271124629824313e-24 -4.276902806609873522e-26
1.118164062500000000e-01 2.006821151196192789e-24 1.317159072228508964e-25
1.123046875000000000e-01 1.913643862147634068e-24 3.051094707115814528e-25
1.127929687500000000e-01 1.804545409818103013e-24 4.759916631027369169e-25
1.132812500000000000e-01 1.680391090452504410e-24 6.429491326639011429e-25
1.137695312500000000e-01 1.542224668917548267e-24 8.045562754778833585e-25
1.142578125000000000e-01 1.391221830183872371e-24 9.594951030889551122e-25
1.147460937500000000e-01 1.228596425471780973e-24 1.106477977153639433e-24
1.152343750000000000e-01 1.055721095822176210e-24 1.244248487819423794e-24
1.157226562500000000e-01 8.740544324064419901e-25 1.371690888262435265e-24
1.162109375000000000e-01 6.850654320274118867e-25 1.487739110926106083e-24
1.166992187500000000e-01 4.903524791583544511e-25 1.591397115668215924e-24
1.171875000000000000e-01 2.915484484650523144e-25 1.681834434375438603e-24
1.176757812500000000e-01 9.026706244185333487e-26 1.758285312646557847e-24
1.181640625000000000e-01 -1.117839214528295955e-25 1.820087846371842540e-24
1.186523437500000000e-01 -3.129168116620607344e-25 1.866761563892859713e-24
1.191406250000000000e-01 -5.114943909298954579e-25 1.897899117480970797e-24
1.196289062500000000e-01 -7.058263761538185075e-25 1.913221665029523098e-24
